criterion,max_depth,max_features,min_samples_split,F1,Std,Time,No,Attack
gini,17,3,9,1.0,0.0,0.514,48,ACK
entropy,31,1,6,1.0,0.0,0.559,49,ACK
entropy,25,5,5,0.9999790205006068,3.47907431075801e-05,0.948,0,UDP
entropy,11,14,9,0.9999895101314245,3.1469605726441864e-05,1.215,1,UDP
gini,31,26,6,1.0,0.0,1.308,2,UDP
gini,25,11,6,1.0,0.0,1.133,3,UDP
gini,6,25,5,1.0,0.0,1.388,4,UDP
gini,19,23,8,0.9999947551845911,1.5734446226534085e-05,1.297,5,UDP
gini,8,2,5,0.9929512131916077,0.008017065692262196,0.958,6,UDP
entropy,12,9,8,0.9999947551845911,1.5734446226534085e-05,1.122,7,UDP
entropy,28,9,6,1.0,0.0,1.203,8,UDP
gini,26,21,4,1.0,0.0,1.26,9,UDP
entropy,9,24,9,1.0,0.0,1.503,10,UDP
entropy,16,11,2,1.0,0.0,1.162,11,UDP
gini,10,23,6,1.0,0.0,1.265,12,UDP
gini,12,17,9,0.9999895101314245,3.1469605726441864e-05,1.324,13,UDP
entropy,4,19,7,0.999805847350259,0.0004391081487252878,1.72,14,UDP
entropy,31,20,2,1.0,0.0,1.776,15,UDP
gini,11,15,6,0.9999947551845911,1.5734446226534085e-05,1.096,16,UDP
entropy,27,5,8,0.9999527992745183,6.817691732524702e-05,0.994,17,UDP
entropy,4,23,2,0.999989511082061,3.1466753816999923e-05,1.37,18,UDP
gini,5,13,2,0.9999056225033327,0.0002501319622293969,1.162,19,UDP
gini,26,18,4,0.9999895101314245,3.1469605726441864e-05,1.124,20,UDP
gini,26,21,5,1.0,0.0,1.102,21,UDP
entropy,22,15,2,1.0,0.0,1.119,22,UDP
gini,5,12,9,0.9994234768269911,0.0007913228270509108,1.105,23,UDP
entropy,25,18,3,1.0,0.0,1.333,24,UDP
entropy,16,12,7,0.9999947554222504,1.5733733249156945e-05,1.011,25,UDP
entropy,17,3,9,0.9998951077320282,0.00018318597386264319,0.939,26,UDP
entropy,4,14,9,0.999774541979457,0.00031199624029735784,1.311,27,UDP
gini,28,8,8,0.9999737759228573,3.518364586704929e-05,0.967,28,UDP
gini,30,25,6,1.0,0.0,1.153,29,UDP
gini,23,21,5,1.0,0.0,1.196,30,UDP
entropy,10,24,5,1.0,0.0,1.355,31,UDP
gini,5,9,8,0.9996697624319072,0.000588763970036473,1.097,32,UDP
gini,29,18,4,1.0,0.0,1.274,33,UDP
gini,24,9,7,0.9999790216890011,4.8067349052368294e-05,1.199,34,UDP
gini,32,22,4,1.0,0.0,1.314,35,UDP
entropy,22,24,9,1.0,0.0,1.598,36,UDP
entropy,5,18,4,1.0,0.0,1.44,37,UDP
gini,14,23,8,1.0,0.0,1.233,38,UDP
gini,20,25,9,1.0,0.0,1.376,39,UDP
gini,10,25,6,1.0,0.0,1.394,40,UDP
gini,32,17,6,1.0,0.0,1.272,41,UDP
entropy,23,20,6,1.0,0.0,1.288,42,UDP
entropy,8,26,5,1.0,0.0,1.324,43,UDP
entropy,11,5,4,0.9998898460268318,0.00019690287911799172,0.905,44,UDP
entropy,29,18,6,1.0,0.0,1.1,45,UDP
entropy,9,23,2,1.0,0.0,1.508,46,UDP
entropy,15,12,2,1.0,0.0,1.09,47,UDP
gini,11,21,5,1.0,0.0,1.121,48,UDP
gini,15,3,7,0.9999003523086925,0.00011832520717641675,0.963,49,UDP
gini,29,62,4,0.9996265706230949,6.112255220567606e-05,10.846,0,ARP
gini,25,42,2,1.0,0.0,8.365,1,ARP
gini,18,61,2,1.0,0.0,9.655,2,ARP
entropy,32,33,3,0.999859986218851,6.289033240000061e-05,6.077,3,ARP
entropy,14,62,3,0.999933319995332,0.0,10.447,4,ARP
entropy,32,17,4,0.9995866124215164,0.00014235138904208794,5.538,5,ARP
entropy,15,44,4,0.9997333111036426,7.301587637206478e-05,7.956,6,ARP
entropy,27,49,9,0.9992865630642701,0.0001839097988626545,8.789,7,ARP
gini,17,23,4,0.9995666626481559,0.00012731916854146565,6.048,8,ARP
gini,20,13,3,0.9996134070602267,0.0001653400825205054,4.94,9,ARP
gini,18,60,2,1.0,0.0,11.334,10,ARP
gini,17,41,2,1.0,0.0,8.743,11,ARP
entropy,12,60,2,1.0,0.0,9.692,12,ARP
entropy,13,40,3,0.9996733710896001,0.0001473575074567129,9.049,13,ARP
entropy,18,49,5,0.9995867102038725,0.00010661602268775532,9.943,14,ARP
gini,25,49,2,1.0,0.0,8.922,15,ARP
entropy,25,50,2,1.0,0.0,8.817,16,ARP
gini,27,62,3,0.9998733159957991,2.000133317763275e-05,11.478,17,ARP
gini,18,49,2,1.0,0.0,9.48,18,ARP
entropy,19,51,3,0.9998466573306881,8.96857705525685e-05,9.198,19,ARP
gini,22,36,2,1.0,0.0,8.261,20,ARP
entropy,21,29,3,0.999859988885518,8.137066641954919e-05,6.251,21,ARP
entropy,32,59,5,0.9996533297764294,5.811375873997333e-05,9.978,22,ARP
entropy,24,56,3,0.9999199875517174,4.9891378444178976e-05,10.096,23,ARP
gini,18,56,2,1.0,0.0,10.174,24,ARP
gini,27,57,3,0.9998466528855177,5.9993924385995205e-05,10.092,25,ARP
entropy,16,57,2,1.0,0.0,9.427,26,ARP
gini,23,31,2,1.0,0.0,7.217,27,ARP
gini,26,52,5,0.999546596414981,9.798552927756339e-05,9.99,28,ARP
gini,21,37,2,1.0,0.0,7.946,29,ARP
entropy,25,8,3,0.9995867626001301,0.0001879625078717711,5.078,30,ARP
entropy,17,45,2,1.0,0.0,9.844,31,ARP
gini,30,55,3,0.9998466519967326,5.206440337349393e-05,10.55,32,ARP
entropy,19,12,4,0.9994466750773542,0.0001838651502486418,4.359,33,ARP
gini,15,13,2,0.9996932237495401,0.00048490534110217655,5.638,34,ARP
